1972,902188,635354,14214,121561,12021,19855,,,,,,,70479,18045,31228,29352
1973,1104844,789694,19982,135981,13826,13788,,,,,,,82803,22517,35184,41200
1974,1219256,835379,25348,166630,17371,18091,,,,,,,97413,26970,41670,52816
1975,1327556,892322,26196,196439,20778,22023,,,,,,,110721,34796,46370,55508
1976,1577330,1049311,33833,239586,23065,31420,,,,,,,124583,35973,57608,72409
1977,1424684,944145,33135,218274,21204,21742,,,,,,,107080,25890,56203,65847
1978,1673663,1095835,35863,276738,20430,28241,,,,,,,123026,34705,63101,79100
1979,2010632,1315595,38723,344566,23833,36700,,,,,,,144183,40843,78459,89106
1980,2163013,1377852,45359,384829,30839,48547,,,,,,,173046,58317,91907,90020
1981,2144732,1350651,49091,391494,36924,50527,,,,,,,177930,69183,88401,87165
1982,1974661,1231754,50626,361440,39559,27330,,,,,,,158166,44410,84322,88353
1983,1775739,1060157,50603,382396,46371,29949,,,,,,,135843,27741,65097,81643
1984,1887222,1110306,48342,426743,51563,35143,,,,,,,145868,38817,59047,96916
1985,1808038,1042188,41835,420592,43272,34553,,,,,,,146852,42136,59805,96766
1986,2259827,1304810,44730,564234,64545,46199,,,,,,,155336,47879,71982,118735
1987,2642636,1564236,42726,648310,66694,53031,,,,,,,171477,56427,82261,133626
1988,3105860,1770751,47096,823591,87785,66739,,,,,,,216011,65726,103712,144699
1989,3276838,1804784,48461,948488,123080,63076,,,,,,,201775,72783,105578,167752
1990,3256391,1779325,51019,962062,129609,54621,28150,9951,22965,19795,41040,812,189619,70992,108713,165653
1991,3240529,1792773,48001,966180,127104,49080,30285,9434,22122,21736,43089,715,185171,73954,104412,143992
1992,3303479,1854394,49869,978114,126398,45794,32130,9987,20661,21920,43565,812,188113,75521,85356,147633
1993,3477721,2011273,50386,991914,123145,43805,34580,9607,20886,20175,48294,1169,197819,84543,88874,137455
1994,3791990,2096430,52766,1175360,136188,47474,41748,9605,22038,23616,71366,1401,205315,90226,99224,162895
1995,4326789,2295542,50756,1467976,182893,60547,51479,11247,28736,28172,109531,1768,194390,69699,124079,194046
1996,4785302,2470632,57293,1695034,208939,61835,63562,12241,34364,30672,146205,1954,218748,87932,138873,204722
1997,4586247,2416066,60378,1533632,152916,60961,80098,20552,38280,34302,150782,1922,229246,103155,134133,212792
1998,4206537,2358588,60930,1206017,156517,48283,56104,10057,26891,24692,128680,2050,250541,119583,130401,200060
1999,4425280,2456031,67171,1298223,142856,52245,62707,9882,30459,24751,160577,2276,280000,132870,117880,205975
2000,4643692,2540197,74021,1385879,145139,55162,77265,10173,32740,28548,166233,2575,298076,146945,125142,220377
2001,4275361,2323833,70404,1262933,130113,58173,86407,11442,37455,26222,119793,2798,303400,154671,106987,207804
2002,4018088,2085227,62254,1257614,122798,58729,99292,9039,41123,23209,106605,3017,318420,165097,96973,197600
2003,3393051,1859792,60486,922800,93961,59492,77527,8045,33263,17481,69273,2935,283007,144061,78014,188952
2004,4218552,2213411,68090,1272353,120897,71012,104840,10569,38177,23921,108611,2911,334225,177269,105239,225234
2005,4505094,2372931,71925,1321323,113767,82037,120313,13254,44076,25740,100635,3682,354727,194344,131235,252953
2006,4517537,2334727,83210,1327592,111866,89954,147853,15606,50484,24346,94917,4005,381356,213945,141823,248829
2007,4678912,2430261,86656,1307784,115558,105154,155753,16333,58769,24807,82524,4557,425200,250633,152727,276284
2008,4764464,2492070,91408,1265341,132407,114975,165823,15332,62284,25557,63455,5472,450898,270828,163549,301198
2009,4170106,2252268,86811,1082787,111779,111579,166192,17742,62674,21937,51608,5685,340583,172006,147892,259765
2010,4455634,2365490,93812,1230206,119366,132212,200033,18681,56555,25635,54445,6597,298075,123763,173135,294916
2011,4522675,2338708,95953,1295469,126752,144409,248888,20934,61249,30806,58501,7318,308812,136931,182848,300885
2012,4598763,2294373,103602,1359982,123916,153414,298070,17011,64690,32780,54034,7943,321482,147698,195989,323335
2013,4731686,2281620,111655,1470044,133453,154409,365314,20639,67401,35689,64036,9067,334025,156856,199733,334609
